# T [GeV]  P/T^4
6.03861954e-03  1.20231040e-02
8.35238828e-03  1.66298991e-02
1.05138473e-02  2.09334398e-02
1.25686802e-02  2.50246842e-02
1.45423526e-02  2.89543363e-02
1.64509925e-02  3.27545047e-02
1.83056714e-02  3.64472355e-02
2.01144276e-02  4.00485335e-02
2.18833432e-02  4.35705065e-02
2.36171680e-02  4.70226130e-02
2.53197066e-02  5.04124266e-02
2.69940690e-02  5.37461412e-02
2.86428415e-02  5.70289055e-02
3.02682058e-02  6.02650633e-02
3.18720250e-02  6.34583235e-02
3.34559070e-02  6.66118885e-02
3.50212526e-02  6.97285466e-02
3.65692920e-02  7.28107474e-02
3.81011135e-02  7.58606577e-02
3.96176862e-02  7.88802070e-02
4.11198779e-02  8.18711237e-02
4.26084701e-02  8.48349631e-02
4.40841696e-02  8.77731334e-02
4.55476189e-02  9.06869123e-02
4.69994039e-02  9.35774672e-02
4.84400612e-02  9.64458661e-02
4.98700836e-02  9.92930918e-02
5.10059755e-02  1.05148248e-01
5.21298531e-02  1.11085921e-01
5.32686510e-02  1.16803907e-01
5.44198085e-02  1.22315678e-01
5.55810983e-02  1.27635559e-01
5.67505909e-02  1.32778023e-01
5.79266205e-02  1.37757219e-01
5.91077530e-02  1.42586655e-01
6.02927559e-02  1.47279024e-01
6.14805722e-02  1.51846100e-01
6.26702962e-02  1.56298715e-01
6.38611532e-02  1.60646764e-01
6.50524810e-02  1.64899245e-01
6.62437144e-02  1.69064310e-01
6.74343715e-02  1.73149326e-01
6.86240422e-02  1.77160938e-01
6.98123775e-02  1.81105140e-01
7.09990819e-02  1.84987326e-01
7.21839051e-02  1.88812359e-01
7.33666359e-02  1.92584620e-01
7.45470969e-02  1.96308058e-01
7.57251399e-02  1.99986235e-01
7.69006414e-02  2.03622370e-01
7.80734996e-02  2.07219372e-01
7.92436314e-02  2.10779873e-01
8.04109696e-02  2.14306261e-01
8.15754609e-02  2.17800700e-01
8.27370638e-02  2.21265163e-01
8.38957475e-02  2.24701435e-01
8.50514896e-02  2.28111159e-01
8.62042758e-02  2.31495820e-01
8.73540982e-02  2.34856784e-01
8.85009546e-02  2.38195302e-01
8.96448478e-02  2.41512521e-01
9.07857847e-02  2.44809494e-01
9.19237759e-02  2.48087190e-01
9.30588351e-02  2.51346505e-01
9.41909786e-02  2.54588262e-01
9.53202250e-02  2.57813225e-01
9.64465946e-02  2.61022104e-01
9.75701095e-02  2.64215551e-01
9.86907931e-02  2.67394177e-01
9.98086698e-02  2.70558548e-01
1.00923765e-01  2.73709194e-01
1.02036105e-01  2.76846604e-01
1.03145716e-01  2.79971244e-01
1.04114124e-01  2.83691732e-01
1.04952579e-01  2.87975304e-01
1.05797262e-01  2.92227619e-01
1.06647805e-01  2.96448494e-01
1.07503857e-01  3.00637863e-01
1.08365085e-01  3.04795741e-01
1.09231166e-01  3.08922303e-01
1.10101796e-01  3.13017764e-01
1.10976682e-01  3.17082447e-01
1.11855549e-01  3.21116698e-01
1.12738132e-01  3.25120952e-01
1.13624179e-01  3.29095691e-01
1.14513453e-01  3.33041405e-01
1.15405727e-01  3.36958637e-01
1.16213097e-01  3.41325117e-01
1.16975913e-01  3.45934417e-01
1.17744206e-01  3.50515577e-01
1.18517724e-01  3.55068190e-01
1.19296222e-01  3.59591969e-01
1.20079465e-01  3.64086697e-01
1.20867223e-01  3.68552280e-01
1.21659276e-01  3.72988681e-01
1.22455412e-01  3.77395923e-01
1.23229049e-01  3.81941089e-01
1.23944371e-01  3.86858249e-01
1.24664815e-01  3.91748704e-01
1.25390178e-01  3.96611917e-01
1.26120263e-01  4.01447452e-01
1.26854877e-01  4.06254968e-01
1.27593834e-01  4.11034183e-01
1.28333427e-01  4.15809860e-01
1.29015726e-01  4.20996101e-01
1.29702868e-01  4.26156539e-01
1.30394681e-01  4.31290561e-01
1.31090995e-01  4.36397667e-01
1.31791647e-01  4.41477397e-01
1.32493342e-01  4.46553697e-01
1.33151647e-01  4.51974169e-01
1.33814537e-01  4.57369355e-01
1.34481861e-01  4.62738623e-01
1.35153472e-01  4.68081402e-01
1.35829225e-01  4.73397212e-01
1.36471563e-01  4.79001535e-01
1.37114473e-01  4.84612996e-01
1.37761643e-01  4.90199006e-01
1.38412942e-01  4.95758942e-01
1.39055702e-01  5.01404610e-01
1.39680451e-01  5.07223792e-01
1.40309362e-01  5.13018154e-01
1.40942314e-01  5.18787027e-01
1.41570917e-01  5.24608246e-01
1.42182015e-01  5.30608677e-01
1.42797136e-01  5.36584570e-01
1.43416166e-01  5.42535268e-01
1.44024464e-01  5.48605615e-01
1.44625232e-01  5.54766033e-01
1.45229861e-01  5.60901913e-01
1.45835045e-01  5.67046011e-01
1.46424181e-01  5.73372759e-01
1.47017106e-01  5.79675398e-01
1.47613721e-01  5.85953247e-01
1.48194094e-01  5.92423479e-01
1.48777458e-01  5.98877564e-01
1.49364402e-01  6.05307384e-01
1.49936328e-01  6.11923642e-01
1.50511855e-01  6.18516111e-01
1.51087215e-01  6.25127319e-01
1.51652807e-01  6.31870707e-01
1.52221896e-01  6.38590208e-01
1.52785257e-01  6.45396591e-01
1.53345664e-01  6.52257177e-01
1.53908066e-01  6.59111134e-01
1.54460877e-01  6.66103694e-01
1.55017042e-01  6.73072579e-01
1.55566834e-01  6.80142277e-01
1.56116298e-01  6.87235419e-01
1.56663241e-01  6.94381135e-01
1.57206809e-01  7.01591296e-01
1.57750082e-01  7.08825228e-01
1.58288453e-01  7.16145938e-01
1.58827521e-01  7.23477206e-01
1.59361308e-01  7.30902568e-01
1.59895838e-01  7.38338022e-01
1.60425578e-01  7.45862673e-01
1.60955388e-01  7.53407319e-01
1.61481554e-01  7.61026317e-01
1.62006569e-01  7.68683770e-01
1.62529579e-01  7.76392537e-01
1.63049801e-01  7.84165333e-01
1.63570025e-01  7.91959619e-01
1.64085511e-01  7.99849432e-01
1.64601354e-01  8.07755786e-01
1.65114127e-01  8.15733001e-01
1.65625138e-01  8.23761094e-01
1.66135870e-01  8.31816046e-01
1.66642437e-01  8.39962706e-01
1.67148476e-01  8.48142344e-01
1.67653771e-01  8.56358407e-01
1.68155479e-01  8.64664195e-01
1.68656659e-01  8.73008050e-01
1.69157119e-01  8.81394149e-01
1.69655179e-01  8.89861012e-01
1.70152267e-01  8.98385693e-01
1.70648831e-01  9.06961438e-01
1.71144842e-01  9.15592172e-01
1.71639212e-01  9.24317655e-01
1.72133423e-01  9.33105525e-01
1.72627576e-01  9.41958692e-01
1.73121765e-01  9.50881336e-01
1.73616034e-01  9.59882118e-01
1.74110303e-01  9.68983415e-01
1.74605269e-01  9.78165039e-01
1.75101098e-01  9.87431216e-01
1.75597978e-01  9.96786062e-01
1.76096111e-01  1.00623369e+00
1.76595712e-01  1.01577813e+00
1.77097006e-01  1.02542324e+00
1.77600225e-01  1.03517274e+00
1.78105612e-01  1.04503526e+00
1.78613417e-01  1.05501038e+00
1.79123855e-01  1.06509736e+00
1.79637143e-01  1.07529893e+00
1.80153492e-01  1.08561753e+00
1.80673107e-01  1.09605523e+00
1.81196186e-01  1.10661371e+00
1.81722936e-01  1.11729631e+00
1.82253622e-01  1.12811038e+00
1.82788337e-01  1.13904985e+00
1.83327223e-01  1.15011449e+00
1.83870404e-01  1.16130343e+00
1.84417982e-01  1.17261526e+00
1.84970036e-01  1.18404802e+00
1.85526624e-01  1.19559909e+00
1.86087827e-01  1.20726811e+00
1.86654025e-01  1.21907151e+00
1.87224802e-01  1.23098251e+00
1.87800106e-01  1.24299602e+00
1.88379860e-01  1.25510644e+00
1.88964392e-01  1.26732983e+00
1.89553288e-01  1.27964460e+00
1.90146252e-01  1.29203629e+00
1.90743346e-01  1.30450962e+00
1.91344489e-01  1.31706279e+00
1.91949122e-01  1.32966977e+00
1.92557352e-01  1.34233984e+00
1.93168853e-01  1.35506008e+00
1.93783242e-01  1.36781400e+00
1.94400669e-01  1.38061572e+00
1.95020501e-01  1.39343368e+00
1.95642926e-01  1.40628492e+00
1.96267434e-01  1.41914311e+00
1.96894159e-01  1.43202169e+00
1.97522694e-01  1.44489817e+00
1.98153231e-01  1.45778849e+00
1.98785421e-01  1.47067175e+00
1.99419383e-01  1.48355723e+00
2.00054999e-01  1.49643757e+00
2.00692179e-01  1.50930738e+00
2.01331080e-01  1.52217668e+00
2.01971497e-01  1.53503267e+00
2.02613412e-01  1.54787452e+00
2.03256901e-01  1.56070704e+00
2.03901866e-01  1.57352425e+00
2.04548251e-01  1.58632334e+00
2.05196036e-01  1.59910322e+00
2.05845218e-01  1.61186401e+00
2.06495794e-01  1.62460556e+00
2.07147684e-01  1.63732366e+00
2.07800862e-01  1.65001722e+00
2.08455304e-01  1.66268500e+00
2.09110982e-01  1.67532589e+00
2.09767869e-01  1.68793873e+00
2.10425940e-01  1.70052226e+00
2.11085166e-01  1.71307537e+00
2.11745520e-01  1.72559690e+00
2.12406974e-01  1.73808575e+00
2.13069502e-01  1.75054077e+00
2.13733076e-01  1.76296092e+00
2.14397668e-01  1.77534518e+00
2.15063252e-01  1.78769255e+00
2.15729838e-01  1.80000344e+00
2.16397383e-01  1.81227629e+00
2.17065844e-01  1.82450960e+00
2.17735197e-01  1.83670244e+00
2.18405448e-01  1.84885522e+00
2.19076583e-01  1.86096747e+00
2.19748536e-01  1.87303699e+00
2.20421322e-01  1.88506430e+00
2.21094929e-01  1.89704916e+00
2.21769285e-01  1.90898932e+00
2.22444462e-01  1.92088703e+00
2.23120347e-01  1.93273897e+00
2.23797003e-01  1.94454706e+00
2.24474338e-01  1.95630874e+00
2.25152418e-01  1.96802593e+00
2.25831150e-01  1.97969619e+00
2.26510575e-01  1.99132059e+00
2.27190655e-01  2.00289833e+00
2.27871360e-01  2.01442869e+00
2.28552717e-01  2.02591236e+00
2.29234691e-01  2.03734870e+00
2.29917261e-01  2.04873718e+00
2.30600417e-01  2.06007780e+00
2.31284158e-01  2.07137059e+00
2.31968482e-01  2.08261557e+00
2.32653362e-01  2.09381223e+00
2.33338788e-01  2.10496055e+00
2.34024752e-01  2.11606043e+00
2.34711244e-01  2.12711185e+00
2.35398255e-01  2.13811475e+00
2.36085776e-01  2.14906905e+00
2.36773798e-01  2.15997473e+00
2.37462312e-01  2.17083174e+00
2.38151310e-01  2.18164009e+00
2.38840801e-01  2.19240004e+00
2.39530759e-01  2.20311130e+00
2.40221174e-01  2.21377392e+00
2.40912037e-01  2.22438788e+00
2.41603368e-01  2.23495357e+00
2.42295137e-01  2.24547074e+00
2.42987328e-01  2.25593939e+00
2.43679977e-01  2.26635996e+00
2.44373030e-01  2.27673219e+00
2.45066518e-01  2.28705637e+00
2.45760408e-01  2.29733239e+00
2.46454722e-01  2.30756060e+00
2.47149424e-01  2.31774086e+00
2.47844543e-01  2.32787354e+00
2.48540051e-01  2.33795857e+00
2.49235941e-01  2.34799612e+00
2.49932231e-01  2.35798634e+00
2.50628903e-01  2.36792937e+00
2.51325950e-01  2.37782531e+00
2.52023369e-01  2.38767435e+00
2.52721159e-01  2.39747662e+00
2.53419318e-01  2.40723220e+00
2.54117841e-01  2.41694136e+00
2.54816727e-01  2.42660417e+00
2.55515971e-01  2.43622081e+00
2.56215570e-01  2.44579147e+00
2.56915520e-01  2.45531628e+00
2.57615817e-01  2.46479540e+00
2.58316457e-01  2.47422901e+00
2.59017435e-01  2.48361729e+00
2.59718761e-01  2.49296041e+00
2.60420423e-01  2.50225853e+00
2.61122411e-01  2.51151185e+00
2.61824741e-01  2.52072046e+00
2.62527394e-01  2.52988465e+00
2.63230375e-01  2.53900453e+00
2.63933679e-01  2.54808033e+00
2.64637308e-01  2.55711214e+00
2.65341248e-01  2.56610027e+00
2.66045518e-01  2.57504475e+00
2.66750095e-01  2.58394592e+00
2.67454982e-01  2.59280387e+00
2.68160186e-01  2.60161877e+00
2.68865699e-01  2.61039082e+00
2.69571516e-01  2.61912027e+00
2.70277637e-01  2.62780723e+00
2.70984061e-01  2.63645188e+00
2.71690785e-01  2.64505447e+00
2.72397807e-01  2.65361514e+00
2.73105126e-01  2.66213407e+00
2.73812738e-01  2.67061150e+00
2.74520641e-01  2.67904757e+00
2.75228839e-01  2.68744244e+00
2.75937328e-01  2.69579629e+00
2.76646099e-01  2.70410941e+00
2.77355156e-01  2.71238189e+00
2.78064500e-01  2.72061393e+00
2.78774118e-01  2.72880579e+00
2.79484026e-01  2.73695749e+00
2.80194204e-01  2.74506939e+00
2.80904664e-01  2.75314155e+00
2.81615396e-01  2.76117425e+00
2.82326398e-01  2.76916762e+00
2.83037675e-01  2.77712185e+00
2.83749222e-01  2.78503710e+00
2.84461035e-01  2.79291361e+00
2.85173113e-01  2.80075156e+00
2.85885456e-01  2.80855106e+00
2.86598061e-01  2.81631237e+00
2.87310928e-01  2.82403560e+00
2.88024053e-01  2.83172101e+00
2.88737436e-01  2.83936871e+00
2.89451072e-01  2.84697899e+00
2.90164966e-01  2.85455188e+00
2.90879114e-01  2.86208758e+00
2.91593508e-01  2.86958642e+00
2.92308155e-01  2.87704842e+00
2.93023048e-01  2.88447383e+00
2.93738187e-01  2.89186284e+00
2.94453569e-01  2.89921562e+00
2.95169197e-01  2.90653226e+00
2.95885062e-01  2.91381309e+00
2.96601168e-01  2.92105814e+00
2.97317514e-01  2.92826765e+00
2.98034095e-01  2.93544180e+00
2.98750910e-01  2.94258076e+00
2.99467958e-01  2.94968471e+00
3.00185237e-01  2.95675382e+00
3.00902746e-01  2.96378825e+00
3.01620483e-01  2.97078818e+00
3.02338445e-01  2.97775382e+00
3.03056633e-01  2.98468530e+00
3.03775047e-01  2.99158272e+00
3.04493680e-01  2.99844639e+00
3.05212534e-01  3.00527640e+00
3.05931607e-01  3.01207294e+00
3.06650897e-01  3.01883615e+00
3.07370402e-01  3.02556626e+00
3.08090122e-01  3.03226337e+00
3.08810053e-01  3.03892770e+00
3.09530194e-01  3.04555943e+00
3.10250547e-01  3.05215862e+00
3.10971107e-01  3.05872554e+00
3.11691873e-01  3.06526032e+00
3.12412844e-01  3.07176311e+00
3.13134017e-01  3.07823412e+00
3.13855392e-01  3.08467347e+00
3.14576967e-01  3.09108136e+00
3.15298743e-01  3.09745787e+00
3.16020714e-01  3.10380328e+00
3.16742879e-01  3.11011772e+00
3.17465242e-01  3.11640125e+00
3.18187794e-01  3.12265416e+00
3.18910540e-01  3.12887653e+00
3.19633475e-01  3.13506852e+00
3.20356596e-01  3.14123038e+00
3.21079907e-01  3.14736213e+00
3.21803402e-01  3.15346404e+00
3.22527081e-01  3.15953620e+00
3.23250942e-01  3.16557881e+00
3.23974984e-01  3.17159200e+00
3.24699206e-01  3.17757593e+00
3.25423605e-01  3.18353078e+00
3.26148180e-01  3.18945670e+00
3.26872934e-01  3.19535372e+00
3.27597859e-01  3.20122219e+00
3.28322957e-01  3.20706214e+00
3.29048227e-01  3.21287374e+00
3.29773665e-01  3.21865721e+00
3.30499272e-01  3.22441260e+00
3.31225048e-01  3.23014006e+00
3.31950988e-01  3.23583982e+00
3.32677092e-01  3.24151201e+00
3.33403359e-01  3.24715675e+00
3.34129787e-01  3.25277423e+00
3.34856377e-01  3.25836450e+00
3.35583125e-01  3.26392780e+00
3.36310031e-01  3.26946424e+00
3.37037093e-01  3.27497397e+00
3.37764310e-01  3.28045715e+00
3.38491682e-01  3.28591387e+00
3.39219205e-01  3.29134436e+00
3.39946880e-01  3.29674869e+00
3.40674705e-01  3.30212703e+00
3.41402677e-01  3.30747957e+00
3.42130798e-01  3.31280635e+00
3.42859066e-01  3.31810754e+00
3.43587478e-01  3.32338333e+00
3.44316034e-01  3.32863383e+00
3.45044732e-01  3.33385919e+00
3.45773572e-01  3.33905951e+00
3.46502553e-01  3.34423494e+00
3.47231672e-01  3.34938566e+00
3.47960928e-01  3.35451179e+00
3.48690322e-01  3.35961343e+00
3.49419850e-01  3.36469077e+00
3.50149514e-01  3.36974386e+00
3.50879311e-01  3.37477288e+00
3.51609239e-01  3.37977802e+00
3.52339299e-01  3.38475930e+00
3.53069488e-01  3.38971696e+00
3.53799806e-01  3.39465106e+00
3.54530252e-01  3.39956175e+00
3.55260824e-01  3.40444918e+00
3.55991521e-01  3.40931347e+00
3.56722343e-01  3.41415471e+00
3.57453288e-01  3.41897309e+00
3.58184355e-01  3.42376869e+00
3.58915544e-01  3.42854164e+00
3.59646853e-01  3.43329208e+00
3.60378280e-01  3.43802018e+00
3.61109826e-01  3.44272597e+00
3.61841488e-01  3.44740967e+00
3.62573267e-01  3.45207133e+00
3.63305162e-01  3.45671106e+00
3.64037170e-01  3.46132907e+00
3.64769291e-01  3.46592543e+00
3.65501523e-01  3.47050030e+00
3.66233868e-01  3.47505372e+00
3.66966322e-01  3.47958588e+00
3.67698886e-01  3.48409686e+00
3.68431558e-01  3.48858680e+00
3.69164337e-01  3.49305582e+00
3.69897223e-01  3.49750402e+00
3.70630214e-01  3.50193154e+00
3.71363310e-01  3.50633847e+00
3.72096510e-01  3.51072493e+00
3.72829812e-01  3.51509108e+00
3.73563215e-01  3.51943703e+00
3.74296721e-01  3.52376279e+00
3.75030326e-01  3.52806859e+00
3.75764031e-01  3.53235447e+00
3.76497834e-01  3.53662059e+00
3.77231734e-01  3.54086706e+00
3.77965732e-01  3.54509394e+00
3.78699825e-01  3.54930140e+00
3.79434013e-01  3.55348952e+00
3.80168296e-01  3.55765840e+00
3.80902673e-01  3.56180814e+00
